Sample_ID,EIO_02,EIO_25,EIO_08,EIO_23,EIO_17,EIO_12,EIO_15,EIO_21,EIO_03,EIO_26,EIO_29,EIO_31,EIO_18,EIO_09,EIO_47,EIO_46,EIO_13,EIO_38,EIO_43,EIO_44,EIO_06,EIO_33,EIO_40,EIO_35,EIO_28,EIO_41,EIO_39,EIO_11,EIO_48,EIO_22,EIO_37,EIO_32,EIO_24,EIO_20,EIO_45,EIO_14,EIO_42,EIO_19,EIO_10,EIO_01,EIO_16,EIO_27,EIO_04,EIO_05,EIO_34,EIO_36,EIO_07,EIO_30
R_G_Set4_11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,632034,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
R_G_Set4_12,0,0,0,0,0,538957,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R_G_Set4_13,0,0,1,1,0,0,0,1,1,0,0,33,1,59,0,0,620011,0,0,0,0,0,30,0,0,0,0,16,1,0,39,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0
R_G_Set4_14,0,0,0,0,0,1,1,0,0,188,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,20,1,0,0,0,0,1,1,0,526230,1,1,0,1,0,0,2,1,1,0,0,0
R_G_Set4_15,0,0,0,0,0,1,307602,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0
R_G_Set4_16,0,1,0,200,0,0,2,2,0,1,1,0,6,2,0,1,2,1,1,0,0,0,1,0,0,0,0,0,4,0,1,4,0,0,1,0,0,0,1,0,696787,0,1,1,0,0,0,0
T_G_Set1_01,1,22,0,0,0,76,0,0,9,0,5,29,0,2,0,0,0,0,21,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,681054,0,0,0,0,0,1,0,0
T_G_Set1_02,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
T_G_Set1_03,0,1,0,0,2,0,2,0,694434,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0
T_G_Set1_04,0,0,0,1,0,6,0,0,9,2,4,0,1,0,0,0,0,1,0,1,6,0,0,0,0,1,0,1,1,0,0,1,0,2,0,0,0,1,0,0,0,0,584714,1,0,0,2,0
T_G_Set1_05,0,0,0,0,0,0,6,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,693685,5,0,0,2
T_G_Set1_06,0,0,32,0,0,0,1,0,1,11,0,2,0,1,0,1,1,0,0,0,652439,3,0,0,0,0,0,26,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
T_G_Set1_07,1,5,38,2,5,2,1,43,1,0,14,3,0,1,0,1,0,0,2,0,2,0,0,0,8,1,1,0,5,0,112,0,4,0,2,1,0,0,0,4,0,28,1,0,0,0,661572,0
T_G_Set1_08,1,1,697058,0,2,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4,1,0,2,1,0,0,0
T_G_Set1_09,0,0,0,0,1,0,0,1,0,0,1,2,0,722303,0,0,8,0,1,0,0,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
T_G_Set1_10,0,2,2,0,0,237,1,0,0,2,0,48,2,1,0,1,0,1,0,0,0,0,3,0,0,1,0,14,0,1,2,0,0,0,2,0,5,0,819036,0,0,0,0,0,1,0,0,0
T_G_Set1_11,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,11,0,666064,0,0,0,0,0,0,248,0,11,0,0,0,0,0,0,0,0,0,0,0
T_G_Set1_12,0,1,1,0,0,508238,1,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,32,0,0,11,0,72,0,0,0,0,0,1,17,0,12,0,0,2,0,0,0,1,0,0,0,0
T_G_Set1_13,0,0,1,0,0,4,5,3,0,0,1,28,8,51,0,1,621752,1,0,0,0,1,23,0,0,2,0,29,0,1,53,0,0,0,1,141,1,0,5,0,1,0,0,1,1,1,0,0
T_G_Set1_14,1,0,0,0,0,8,2,0,0,312,0,0,206,0,0,0,0,0,11,0,1,0,0,0,0,2,22,1,0,3,2,0,0,0,5,665425,0,0,36,0,0,0,0,1,0,0,0,0
T_G_Set1_15,1,0,0,4,0,0,700409,0,72,0,0,1,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,2,0,0,0,0,1,0
T_G_Set1_16,0,0,0,139,2,0,1,7,0,0,0,7,3,0,0,1,0,1,0,0,0,0,0,0,5,0,1,1,5,0,1,0,0,0,3,1,0,1,0,0,659240,0,0,0,0,0,1,1
T_G_Set1_17,667,2,1,1,648650,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
T_G_Set1_18,0,4,1,0,0,10,1,0,0,1,0,0,418898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,102,0,0,0,0,0,0,0,0,0
T_G_Set1_19,0,1,41,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1,0,0,0,0,3,632429,0,0,1,1,1,1,0,0,0,1
T_G_Set1_20,4,0,1,1,1,1,1,1,0,1,0,0,3,2,0,0,1,0,0,0,3,0,0,1,8,0,70,101,1,1,0,0,1,1069658,1,0,5,0,2,1,0,11,1,2,0,0,0,0
T_G_Set1_21,0,1,0,1,0,0,1,601246,0,0,282,0,1,0,0,1,0,0,0,214,0,0,0,0,13,0,0,0,0,0,1,0,0,1,2,0,0,0,0,2,2,1,0,0,0,1,1,0
T_G_Set1_22,0,0,0,2,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,557640,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0
