FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E2,LPAManualBuild1_Res,472,0.186,,0.607,31.74,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E2,LPAManualBuild1_Res,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F2,LPAManualBuild1_Res,25,6.27,,386,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F2,LPAManualBuild1_Res,97,0.327,,5.20,57.84,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F2,LPAManualBuild1_Res,219,0.0273,,0.192,4.83,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F2,LPAManualBuild1_Res,336,0.0375,,0.172,6.64,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F2,LPAManualBuild1_Res,470,0.174,,0.568,30.69,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F2,LPAManualBuild1_Res,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G2,LPAManualBuild1_Res,25,6.01,,370,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G2,LPAManualBuild1_Res,97,0.356,,5.66,61.56,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G2,LPAManualBuild1_Res,217,0.0225,,0.160,3.90,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G2,LPAManualBuild1_Res,335,0.0337,,0.155,5.83,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G2,LPAManualBuild1_Res,469,0.166,,0.544,28.71,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G2,LPAManualBuild1_Res,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H2,LPAManualBuild1_Res,25,6.03,,371,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H2,LPAManualBuild1_Res,96,0.382,,6.14,61.54,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H2,LPAManualBuild1_Res,214,0.0255,,0.184,4.11,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H2,LPAManualBuild1_Res,331,0.0368,,0.171,5.93,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H2,LPAManualBuild1_Res,371,0.0133,,0.0551,2.14,,
